SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016522_000002,GEORTEC,16522,Georgia Institute of Tech.,2,262500003939-00,TRC2008 MB X10DRi-T 500W,4/29/2021,2/23/2021,4/16/2021,4/23/2021,4/23/2021,1,0,8830,"11-002001-001, 124500001001-00, 264500001619-00, 26-004846-465, 264500001671-00, 264500002455-00 TS/DP WA 2/28 MC UC - reviewing PSP - rto, (SOH 4/29/2021)",0,,0,"ON HOLD - NEW PS - NEED ECO, SYSTEM CONFIG ISSUES - PS, WIP, KITTING"
0016181_000001,L3COMNJ,16181,"L3 Technologies, Inc. - Camden",1,198500001079-00,TSB+32GB(4X8GB)+Dev,11/24/2020,11/24/2020,3/19/2021,4/9/2021,4/26/2021,300,96,2292,"92-507053-000, 75-507053-C33A, 26-504550-002, 28-008146-001, 13-008147-000, 69-008125-000 TS/DP WA 10/16 (SOH 11/24/2020)",24,,0,"WIP/SHIPPING - 16 PER DAY., ON HOLD - ECO NEEDED, WIP & THERMAL TESTING - RECEIVING PCA's DAILY, KITTING 15 PC'S FOR PROTO FOR THERMAL TEST RUN, L3 CAMDEN - SPECIAL THERMAL PROCESS REQUIRED - SHIP PARTIALS"
0016181_000002,L3COMNJ,16181,"L3 Technologies, Inc. - Camden",2,/C,Default Item Code /C,11/24/2020,,3/19/2021,4/9/2021,4/26/2021,0,0,0,Additional thermal testing to be implemented as agreed to by L3 Harris and Trenton Systems (SOH 11/24/2020),0,,0,
0016181_000004,L3COMNJ,16181,"L3 Technologies, Inc. - Camden",4,/C,Default Item Code /C,11/24/2020,,3/19/2021,4/9/2021,4/26/2021,0,0,0,Rated: DO-A1 (SOH 11/24/2020),0,,0,
0016181_000005,L3COMNJ,16181,"L3 Technologies, Inc. - Camden",5,/C,Default Item Code /C,11/24/2020,,3/19/2021,4/9/2021,4/26/2021,0,0,0,"11-008149-000, 40-005676-003, 26-004846-397 (SOH 11/24/2020)",0,,0,
0016540_000001,LEIDINC,16540,Leidos - Colorado,1,262500002081-00,"2U, 7053-112, 8219-013",4/28/2021,3/1/2021,4/19/2021,4/26/2021,4/26/2021,2,0,5200,"92-507053-000, 268500001067-01, (SOH 4/28/2021)",0,,0,"ECO ON 7053 - REWORK, , BURN-IN, WIP, KITTING"
0016540_000002,LEIDINC,16540,Leidos - Colorado,2,/C,Default Item Code /C,4/28/2021,,4/19/2021,4/26/2021,4/26/2021,0,0,0,DPAS Rating: DO-A2 (SOH 4/28/2021),0,,0,"BURN-IN, WIP, KITTING"
0016582_000001,HONEYNM,16582,"Honeywell - Albuquerque, NM",1,260500001112-00,"Monitor, 24"" LCD, LED Backligh",4/27/2021,4/27/2021,4/20/2021,4/27/2021,4/27/2021,4,0,300,260500001112-00 DP WA 3/9 (SOH 4/27/2021),9,,0,
0016672_000001,ECRIN,16672,Ecrin Systems,1,92-708700800000,BPG7087 CST,4/16/2021,4/16/2021,4/22/2021,4/27/2021,4/27/2021,1,0,983,NS,23,,0,C
0016672_000002,ECRIN,16672,Ecrin Systems,2,92-814100600000,THD E3-1275v3 4CHT 3.5,4/16/2021,4/16/2021,4/22/2021,4/27/2021,4/27/2021,1,0,1469,26-004846-444 DP WA 4-7 (SOH 4-16/2021),0,,0,C
