SO_line,CustomerNo,SalesOrderNo,CustomerName,LineKey,ItemCode,ItemCodeDesc,SO Header,PROM DATE,UDF_MATERIALS_CLEAR_DATE,EXP DATE,Exp DATE,Qty,QuantityShipped,UnitPrice,Production Notes,QtyOnHand,RMANumber,DropShip,Comments
0016609_000002,IDEALAE,16609,Ideal Aerosmith,2,263500001471-00,"HDD 1TB 2.5"" 7mm Seagate Barra",5/18/2021,3/23/2021,5/7/2021,5/18/2021,5/18/2021,3,0,80,NS (SOH 5/18/2021),8,,0,
0016609_000003,IDEALAE,16609,Ideal Aerosmith,3,198500001016-00,"Slide Rails 24-30"" w/Bracket,",5/18/2021,3/23/2021,5/7/2021,5/18/2021,5/18/2021,3,0,100,107500001057-01 DP WA 3/19 (SOH 5/18/2021),0,,0,
0016609_000004,IDEALAE,16609,Ideal Aerosmith,4,260500001112-00,"Monitor, 24"" LCD, LED Backligh",5/18/2021,3/23/2021,5/7/2021,5/18/2021,5/18/2021,3,0,300,260500001112-00 DP WA 3/19 (SOH 5/18/2021),12,,0,
0016609_000005,IDEALAE,16609,Ideal Aerosmith,5,267500001004-00,USB Keyboard and Mouse,5/18/2021,3/23/2021,5/7/2021,5/18/2021,5/18/2021,3,0,30,NS (SOH 5/18/2021),34,,0,
0016627_000001,ZDATUM,16627,Zdatum Corporation,1,262500002342-00,"TRC2009 2U, 8141, 8219 650W",5/18/2021,3/25/2021,5/12/2021,5/19/2021,5/19/2021,1,0,6680,"124500001001-00, 26-004846-467, 263500001190-00 EOL, 264500001999-00 EOL, DP Wa 3/10 (SOH 5/18/2021)",0,,0,
0016642_000002,BECHTLE,16642,Bechtle,2,262500005009-00,TRC1001 2x MSL8256 1200W,7/1/2021,4/1/2021,5/12/2021,5/19/2021,5/19/2021,2,0,18009,,0,,0,
0016605_000001,CUSTOMS,16605,Custom Systems Integration Inc,1,262500003860-00,TRC4014 4U TSB7053 6600 860W,5/20/2021,3/22/2021,5/11/2021,5/20/2021,5/20/2021,1,0,5692,105500001021-00 DP WA 3/19 (SOH 5/202/2021),0,,0,
0016659_000001,AREA51E,16659,"AREA51-ESG, INC.",1,262500004164-01,TRC4008 TKL8255 6615 860W,5/18/2021,4/6/2021,5/13/2021,5/20/2021,5/20/2021,2,0,5250,"131500001008-00, 124500001001-00, 107500001179-00, 111500001139-00, TS/DP WA 4/8 (SOH 5/18/2021)",0,,0,
0016659_000002,AREA51E,16659,"AREA51-ESG, INC.",2,267500001004-00,USB Keyboard and Mouse,5/18/2021,4/6/2021,5/13/2021,5/20/2021,5/20/2021,2,0,30,NS (SOH 5/18/2021),34,,0,
0016657_000001,DAKTRON,16657,"Daktronics, Inc.",1,262500002478-00,TRC5005 TKL8255 8194 1550W,5/12/2021,4/6/2021,5/14/2021,5/21/2021,5/21/2021,2,0,6050,"110500001068-00, 268500001131-01 container delay , 92-508194-007 stk, 26-004846-527, 111500001144-01 TS/DP WA 4/8 (SOH 5/12/2021)",1,,0,
0016596_000001,RAYTHVA,16596,Raytheon Company,1,262500002467-00,MBS2000 MBKS2U 2x 1200W,5/26/2021,3/17/2021,5/17/2021,5/26/2021,5/26/2021,3,0,6500,"101500001093-00, 13-008028-001, 101500001094-00, 26-004846-525 TS/DP WA 3/19 (SOH 5/26/2021)",0,,0,KITTING
0016596_000002,RAYTHVA,16596,Raytheon Company,2,198500001015-00,"Slide Rails 20-26"" w/Bracket,",5/26/2021,3/17/2021,5/17/2021,5/26/2021,5/26/2021,3,0,100,NS (SOH 5/26/2021),1,,0,KITTING
0016662_000001,DAKTRON,16662,"Daktronics, Inc.",1,262500002478-00,TRC5005 TKL8255 8194 1550W,5/26/2021,4/6/2021,5/17/2021,5/26/2021,5/26/2021,13,0,6050,"110500001068-00, 268500001131-01 container delay , 92-508194-007 stk, 26-004846-527, 111500001144-01 TS/DP WA 4/8 (SOH 5/12/2021)",1,,0,
